pickup_point,latitude,longitude,employee_count
0,39.96957353333333,32.59296700666666,15
1,39.993119799999995,32.56451815,6
2,39.9782679,32.7299384,3
3,39.966134525,32.65722795,4
4,39.944681825,32.576760766666666,12
5,40.0132222625,32.5149451,16
6,40.00937950833333,32.515922700000004,12
7,39.954148933333336,32.7284086,3
8,39.97800433333333,32.815264,3
9,40.00478494583333,32.51903100833333,24
10,39.98914713333334,32.88525426666667,3
11,39.9394262625,32.6539887125,8
12,39.95705768666666,32.568910890000005,30
13,39.947882876470594,32.64825172352941,17
14,39.91625415,32.9377748,2
15,39.889826539999994,32.83670184,5
16,39.962268849999994,32.727019750000004,6
17,39.997384257142855,32.516606214285716,7
18,39.98396176,32.8460587,5
19,39.964403,32.941173666666664,3
20,40.0059742,32.6458246,3
21,39.97387555,32.95285705,2
22,39.98584786,32.60965928,5
23,39.88492655,32.81935825,2
24,39.95794663333333,32.556165433333334,15
25,39.99435963,32.58143199,10
26,40.01910290526316,32.53081406315789,19
27,39.94184853076923,32.59239126923077,13
28,39.97150437,32.576907295,20
29,39.9122078,32.8988819,3
30,40.01625414,32.86590897999999,5
31,39.8921541,32.7016155,2
32,39.96017173636364,32.564993563636364,11
33,39.93494526,32.65695212,5
34,39.98505368,32.56506308,10
35,39.95754495,32.793195600000004,2
36,39.924790550000004,32.89992175,4
37,39.9726513,32.655692425000005,4
38,39.939457825000005,32.63867475000001,4
39,39.99870027777777,32.6016076,9
40,39.9461727,32.66599373333333,6
41,40.00205723333334,32.84286123333334,3
42,39.93110772857143,32.620158957142856,7
43,39.9706705,32.64135752,5
44,39.90660915,32.93167835,2
45,39.85932255,32.64264395,2
46,40.01442363333334,32.85887736666667,3
47,39.97190562222222,32.617052244444444,9
48,40.015470670000006,32.52631385000001,10
49,39.969354995833335,32.584929416666675,24
50,39.95857407222221,32.594987655555556,36
51,40.004603788888886,32.530611988888886,9
52,39.98143493333333,32.7081253,3
53,39.991778319999995,32.80479529,10
54,39.97611845,32.865589,2
55,39.95392757368421,32.613551021052636,19
56,39.9740534,32.853579266666664,3
57,39.97861145,32.893322975000004,4
58,39.92713435,32.81390005,2
59,39.98349334285714,32.57936535714286,14
60,40.0096198625,32.526204025,8
61,39.9935417,32.8827664,3
62,39.94487484375,32.654126174999995,16
63,39.99389486666667,32.86989726666666,3
64,39.95956176666666,32.582004866666665,18
65,39.951621325,32.5839528375,16
66,39.979730333333336,32.613371,6
67,39.98807416,32.5789595,5
68,39.95936572000001,32.589795073333335,15
69,40.0005273,32.615404125,4
70,39.97770886666667,32.599197216666674,6
71,39.9035674,32.96798615,2
72,40.00493036666666,32.86039903333333,3
73,39.94128713333333,32.61553481666667,6
74,40.003708180000004,32.87563014,5
75,39.93766613333333,32.59595456666667,3
76,39.987470699999996,32.627633575,4
77,39.945501416666666,32.63193411666666,6
78,39.909381100000004,32.8682118,2
79,39.95062209999999,32.5699486,7
80,39.955388237499996,32.5787211,8
81,39.97099243749999,32.5714253125,16
82,39.98353725,32.85950915,2
83,39.8351161,32.6998107,1
84,39.950049050000004,32.8649994,2
85,39.98810035555555,32.572315966666665,9
86,40.00872716,32.84637868,5
87,39.9877516,32.6555383,2
88,39.966506638888895,32.599735149999994,18
89,39.93310043333333,32.89302596666666,3
90,39.9418175,32.56960162,5
91,39.9633488,32.6988147,2
92,40.00322098,32.88499018,5
93,39.88976325,32.68010635,2
94,39.9549107,32.8487361,1
95,39.942318150000006,32.898821575,4
96,39.990704300000004,32.61788305,4
97,39.95067156,32.643354949999996,10
98,39.94185078181818,32.64415264545455,11
99,39.99369677999999,32.59441156,10
100,39.96328739230769,32.57564196923077,13
101,39.97579505,32.88561125,2
102,39.901788249999996,32.854798849999995,2
103,39.91666505,32.85661545,4
104,39.940519859999995,32.6632926,5
105,39.88853593333334,32.61870366666667,3
106,39.98190975,32.8308081,2
107,39.9804743,32.79751745,2
108,39.95543834666667,32.58651461333333,15
109,39.978416575,32.644653925,8
110,39.94124383333334,32.58376453333333,3
111,39.93235344285714,32.6495986,7
112,39.9981344,32.892584150000005,2
113,39.970105625,32.72967045,4
114,39.920625799999996,32.9135937,2
115,39.9753883,32.806539,2
116,39.94675394285714,32.5958123,7
117,40.0083059,32.5389911,1
118,39.99673315,32.6518223,2
119,39.99809603333333,32.85058433333334,3
120,39.9962033,32.86268135,2
121,39.936264725,32.613588225,4
122,39.8640858,32.6499307,2
123,39.933912557142854,32.5936158,7
124,39.9286299,32.644418466666664,3
